id,Original_Message,Extremism_Label,VE_NVE_classification,VE_NVE_text_span,VE_NVE_explanation,VE_NVE_confidence,VE_subtype,VE_subtype_text_span,VE_subtype_explanation,target_groups,target_groups_text_span,target_groups_explanation
11,love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,EXTREMIST,NVE,"""animals who hurt women for pleasure and lack of confidence in themselves""","The post uses dehumanizing language (""animals"") and expresses hatred toward a group but does not include any direct or implied calls for physical violence or threats.",HIGH,N/A,N/A,N/A,"men, women","""let not all men be equally yoked to the animals who hurt women""","The phrase explicitly mentions ""men"" and ""women."" Men are targeted as a group being warned against or criticized, and women are identified as victims of harm, implying they are a targeted group in the context of the post."
12,never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,NVE,"""christian refugees not welcome""","The post expresses exclusionary and hateful sentiment toward a group without any direct or implied call for physical violence, fitting the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,"British people, Muslims, Christian refugees","""british"", ""muslim global caliphate"", ""christian refugees not welcome""","The post explicitly mentions ""british,"" indicating targeting of British people; ""muslim global caliphate,"" targeting Muslims; and ""christian refugees not welcome,"" targeting Christian refugees."
13,let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
14,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,NVE,"""do not blow up our wives and children"" and ""nor did whatever murder in darfur""","The post explicitly rejects violence (""do not blow up,"" ""nor did ... murder"") rather than advocating or celebrating it, indicating no call for physical violence. It expresses a viewpoint without incitement or endorsement of violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
15,i encourage the murder of asylum seekers,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
16,kill la kill what a slut trash,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
17,i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,EXTREMIST,NVE,"""dropped this knowledge bomb on them""","The phrase ""knowledge bomb"" is metaphorical and does not imply actual physical violence or a call to violent action; it expresses a strong rhetorical impact without advocating violence, fitting NVE criteria.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
18,california says he isnt a murderer prosecutors disagreed after nine years in jail awaiting trial nero wilson what a slut released when california changed its murder laws last fall,EXTREMIST,NVE,"""nero wilson what a slut""","The post contains derogatory language and insults (""what a slut"") but does not include any calls for or celebration of physical violence, threats, or coded incitement. It expresses hate without advocating violence, fitting the NVE criteria.",HIGH,N/A,N/A,N/A,"prosecutors, women","""prosecutors disagreed"", ""nero wilson what a slut""","The post explicitly mentions ""prosecutors"" in a negative context, indicating targeting of this occupation group. The term ""slut"" is a derogatory term typically used to target women, implying gender-based targeting."
19,whatever applaud the murder of muslims,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
20,guests so naive to say and believe traitor trump is walking back and correcting his statement trump what a slut being truthful with trumpisatraitor,EXTREMIST,NVE,"""trump what a slut being truthful with trumpisatraitor""","The post uses derogatory language and insults toward a political figure but does not contain any calls for or endorsements of physical violence, fitting the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,Trump,"""traitor trump"", ""trump what a slut"", ""trumpisatraitor""","The post explicitly targets ""trump"" with derogatory terms such as ""traitor"" and ""slut,"" indicating that the individual Donald Trump is the subject of the extremist language. No other groups are mentioned or implied."
21,borisjohnsonshouldnotbepm ever no threats to kill boris johnson as fabricated by fta,EXTREMIST,NVE,"""no threats to kill boris johnson as fabricated by fta""","The post explicitly denies any threats of violence and does not contain any calls for or celebration of physical violence; it merely references the absence of violent threats, indicating no violent extremism.",HIGH,N/A,N/A,N/A,Boris Johnson,"""borisjohnsonshouldnotbepm"", ""no threats to kill boris johnson""","The post explicitly mentions ""boris johnson"" and discusses threats related to him, indicating that Boris Johnson is the targeted individual. No other groups are mentioned or implied."
22,your avi probably shoot dust out your phone because that shit so old you catfishing the bitches on here laughing my ass off,EXTREMIST,NVE,"""your avi probably shoot dust out your phone because that shit so old you catfishing the bitches on here laughing my ass off""","The post uses insults and profanity but does not contain any calls for or celebration of physical violence, nor does it include threats or coded violent language. It expresses hostility without advocating violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
23,in my opinion whatever should be afraid of them they are unpredictable savage animals you just never know and you should not count on anyone jumping in to save you if something happens and you got the daylights stomped out of you by a pack of black people,EXTREMIST,NVE,"""they are unpredictable savage animals""","The post uses dehumanizing language and expresses hate toward a group but does not explicitly or implicitly call for or celebrate physical violence, fitting the definition of Non-Violent Extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
24,foreign invader ernesto esquivel garcia twice arrested in the custody of immigration officials twice released just to go kill an american citizen pouting face deportthemall buildthewall pitbull flag united states red heart,EXTREMIST,VE,"""just to go kill an american citizen""","The phrase explicitly accuses the individual of killing, implying justification or endorsement of violence, which meets the VE indicator of expressing that violence against a group is justified or deserved.",HIGH,IDEOLOGICAL,"""foreign invader ernesto esquivel garcia""","The post targets an individual labeled as a ""foreign invader,"" reflecting an ethnonationalist or anti-immigrant supremacist ideology, which fits the IDEOLOGICAL subtype definition. The call to ""deportthemall buildthewall"" further supports this ideological framing rather than a direct political or religious motivation.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
25,somali refugees arrested for planning isis attack inside us the suspects had been in communication with a fbi agent whom they thought what a slut an isis supporter to purchased tickets to egypt if they were unable to travel the pair had planned to carry out an attack inside united states of america,EXTREMIST,NVE,"""somali refugees arrested for planning isis attack inside us""","The post reports on a planned violent act but does not itself advocate, incite, or celebrate violence; it merely describes alleged intentions without endorsing or calling for violence, fitting the NVE category.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
26,on the anniversary of isis all ada supporters each claim ben laden as their own as a show of their jihad authenticity pathetic,EXTREMIST,NVE,"""on the anniversary of isis all ada supporters each claim ben laden as their own as a show of their jihad authenticity pathetic""","The post expresses disdain and uses derogatory language (""pathetic"") but does not contain any direct or implied calls for violence, threats, or celebration of violent acts. It critiques extremist affiliations without inciting violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
27,caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
28,dykes are senseless disgusting people they hate men and want the world to burn under their gay domain,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
29,if a nigca never told you bitch you got some bomb ass fuzzy kill ya self bitch,EXTREMIST,VE,"""kill ya self""","The phrase ""kill ya self"" is a direct call to violence, specifically advocating self-harm, which meets the criteria for violent extremism.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
30,power bomb that hoe,EXTREMIST,VE,"""power bomb that hoe""","The phrase ""power bomb that hoe"" is a direct call to physical violence using slang for a violent wrestling move, indicating an intent to harm. This fits the VE indicator of direct calls to violence.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
31,let us kill all of them and get it over with they are all fucking rapists,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
32,ugly traitor go to jail and do not pass go buildthewall lockthemup indiana now,EXTREMIST,NVE,"""ugly traitor go to jail and do not pass go buildthewall lockthemup""","The post contains insults and calls for imprisonment (""go to jail,"" ""lockthemup"") but does not explicitly or implicitly call for physical violence or harm; it expresses extremist ideology without a direct violence call.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
33,as whatever whites are naturally superior whatever need to make sure whatever do not start behaving in non white ways such as fighting with each other and getting publicly nasty,EXTREMIST,NVE,"""whites are naturally superior""",The post expresses a supremacist ideology by claiming racial superiority but does not include any direct or implied calls for physical violence or harm. It fits the definition of Non-Violent Extremism as it promotes hate without advocating violence.,HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
