id,text,VE_or_NVE,S_Zero_Def,E_Zero_Def,S_Zero_04,E_Zero_04,S_CoT_Def,E_CoT_Def,S_CoT_04,E_CoT_04
11,killing these beautiful animals for sport is deplorable why doesn t they hunt niggers instead,VE,4,"The post contains extreme hate speech and dehumanizing language targeting a racial group. Crucially, it directly incites violence by suggesting ""hunt niggers instead,"" which is a clear call for harm against a protected group. While not an immediate threat or tactical instruction, it explicitly advocates for violence.",4,The post uses a severe racial slur and directly,4,"The post directly targets Black people with a racist slur. It contains a clear incitement to violence, specifically suggesting ""hunting"" this group. While not an immediate threat from the poster, it directly encourages violence against a protected characteristic. This constitutes direct incitement to violence against a group.",4,"The post targets Black people with a dehumanizing slur. It contains a direct suggestion and incitement to violence (""hunt"") against this specific racial group. While not an immediate threat from the poster, it constitutes a clear call for violent action against a protected group"
12,the only solution of rapist is that hang till death this place is not for this kind of demons justicefortwinklesharma,VE,2,The post advocates for extreme punishment and uses,2,"The post advocates for capital punishment (""hang",3,"The post targets ""rapists",3,"The post targets ""rapists,"" dehumanizing"
13,maybe italians see this as the only effective where are you to purge italy from illegal immigration,VE,4,"The post uses the term ""purge""",2,"The post uses the term ""purge",3,"The post targets ""illegal immigration,"" implicitly referring",3,"The post targets individuals identified as """
14,i purpose that whatever attack everyone who cannot adhere to british values starting with channel crosses,VE,4,"The post directly proposes an ""attack"" against",4,The post directly incites violence by,3,The post targets a broad group defined by perceived,4,"The post targets ""everyone who"
15,whatever applaud the murder of immigrants,VE,4,The post explicitly states approval and celebration,3,"The post explicitly ""applauds the murder",3,"The post targets ""immigrants""",3,"The post targets ""immigrants"" by"
16,whatever applaud the murder of old people,VE,3,"The post expresses approval for the murder of a specific vulnerable group (""old people""). While it does not directly incite new violence or make a threat, it glorifies or condones an act of extreme violence, aligning with the definition of glorifying past or hypothetical violence.",3,"The post expresses approval for the murder of a specific demographic group (""old people""). This constitutes glorification of violence, aligning with Level 3. While it doesn't directly incite future violence, celebrating such acts is a significant endorsement of harm.",3,"The post targets ""old people"" by expressing approval for",3,"The post targets ""old people"" by"
17,society sucks because whatever do not kill enough people like her,VE,4,The post expresses a desire for,4,"The post expresses a clear desire for violence,",3,The post targets an unspecified group referred,3,"The post targets an unspecified group (""people"
18,i purpose that whatever attack everyone who cannot adhere to british values starting with blacks,VE,4,"The post explicitly proposes an ""attack",4,The post directly incites violence by,4,Step 1 — The post targets a,4,"The post targets a broad group,"
19,let us all kill ourselves and get it over with,VE,3,The post incites a violent,4,The post constitutes direct incitement to,3,The post is a direct call to collective,3,"The post targets a general """
20,your trainees are literally going to hang by your boss,VE,4,The post contains a direct and specific threat,4,"The post contains a direct and specific threat of violence, stating that ""your trainees are literally going to hang."" This constitutes a specific threat against a group, indicating intent for a violent act. It does not provide tactical instructions or suggest immediate planning, but it is beyond general hate speech.",4,"The post targets a group, ""your trainees",4,"The post targets ""your trainees"""
21,rick told you all to go back and kill em all you all nicolas did not listen now they are chewing on bob s leg and shit extra tasty crispy,VE,4,"The post contains a direct call to ""kill em all,"" which constitutes direct incitement to violence. The subsequent graphic and dehumanizing description of ""them"" chewing on ""bob's leg"" reinforces the violent sentiment and dehumanizes the target group, further intensifying the incitement. It suggests negative consequences for",3,"The post references a past directive to ""kill",3,"The post targets an unnamed ""they"" who",3,"The post targets an unspecified group, dehumanizing"
22,it is a plague to this world and i hope someone will kill this woman,VE,4,The post contains dehumanizing language by referring,4,"The post contains a direct statement expressing a hope for someone to kill a woman, coupled with dehumanizing language. This constitutes direct incitement to violence against an individual. It falls short of planning or tactical instructions but clearly encourages a violent act.",4,"The post targets a specific individual referred to as ""this woman."" It contains a direct call to violence, expressing the hope that ""someone will kill this woman,"" which constitutes an incitement to murder. While not an immediate threat from the poster or containing tactical instructions, it is a clear and direct incitement",4,The post targets a specific individual referred
23,whatever applaud the murder of allah worshipers,VE,3,This post glorifies the murder of a specific religious,3,The post explicitly applauds the murder of a,3,"The post targets ""allah worshipers""",3,"The post targets ""allah worshipers"" ("
24,i purpose that whatever attack everyone who cannot adhere to british values starting with asylum seekers,VE,4,"The post directly proposes an ""attack"" against",4,The post directly incites violence by proposing,4,The post targets a broad group defined by perceived,4,"The post directly targets ""everyone who cannot adhere"
25,ill kill them so they do not bother me anymore,VE,4,"The post contains a direct statement of intent to commit violence (""ill kill them""). While the target ""them"" is not specifically identified, it constitutes a direct threat of violence against individuals or a group. It goes beyond general extremist ideology or hate speech by expressing a clear intent to harm.",4,This post contains a direct statement of intent,4,The post targets an unspecified group referred,4,"The post targets an unspecified group (""them"") with a direct threat of violence, specifically stating ""ill kill them."" This is a clear expression of intent to commit murder. While it lacks immediate tactical details or a specific timeline"
26,i endorse the murder of black people,VE,4,"This post directly endorses the murder of an entire racial group, which constitutes a clear incitement to violence. While it does not contain immediate tactical instructions or specific planning, the endorsement of such extreme violence against a protected group meets the criteria for direct incitement. This goes beyond general hate speech or glorifying past acts by actively supporting future violent acts.",4,This post directly endorses the murder of a,4,"The post targets Black people, a",4,"The post directly targets ""black people"""
27,face with tears of joy face with tears of joy face with tears of joy rt them charlotte goons nicolas on fkk around and burn bank of america stadium down fire,VE,4,The post directly incites a violent illegal,4,The post directly incites a,3,"The post targets Bank of America Stadium,",3,"The post targets Bank of America Stadium,"
28,hit a bitch with a car bomb,VE,4,"The post directly advocates for a highly violent act using a lethal weapon (""car bomb"") against an individual. While it doesn't specify a target or provide immediate planning, it constitutes direct incitement to violence, aligning with Level 4.",4,The post expresses a direct desire,4,The post targets an unspecified individual referred,4,"The post targets a group, using a"
29,i do not trust dese hoes nikki told where i stay at all my fans screenshot asap whatever fitting to come to chiral and shoot sum,VE,4,The post contains a direct threat,4,"The post contains a direct threat of violence,",4,"The post targets ""Nikki""",4,"The post targets ""Nikki"" and potentially"
30,media blackout daca recipient threatens to commit mass shooting at new york high school via is not an undocumented immigrant she is an illegal alien terrorist buildthewall enforceuslaws deportthemall no amnesty,VE,2,The post describes an alleged threat of violence,4,The post reports a specific threat of,2,The post contains hateful and dehuman,2,The post targets DACA recipients
31,i encourage the murder of disabled people,VE,4,"This post directly incites violence by encouraging the murder of a specific group (disabled people). It goes beyond general hate speech or glorifying past acts, representing a clear call to harm. While not an immediate threat or tactical instruction, it is a severe form of incitement.",4,"The post directly encourages the murder of a specific vulnerable group, disabled people. This constitutes a clear incitement to violence against a protected characteristic. It goes beyond general hate speech by explicitly advocating for lethal harm.",4,"The post directly targets disabled people. It contains a clear and explicit call to violence, specifically encouraging the murder of this group. While not an immediate threat or a detailed plan, it constitutes direct incitement to violence against a protected group. This falls squarely under Level 4 of the severity rubric.",4,"The post directly targets disabled people. It contains a clear and explicit incitement to violence, specifically encouraging the murder of this group. While it lacks specific details or immediate planning, it is a direct call for a violent illegal act against a protected group. This aligns with Level 4, which describes direct incitement to violence against a group."
32,border agents in south texas saw increase in migrant families make illegal crossings in shoot on sight scot unite blue texas illegals illegal aliens illegal immigration,VE,4,The post directly incites violence by advocating,4,"The post directly incites violence by advocating for ""shoot on sight"" against ""migrant families"" and ""illegal aliens."" This constitutes a clear call for lethal force against a specific group of people. While not an immediate threat from the poster or tactical instruction, it is a direct incitement to violence.",4,"The post targets migrant families, labeling them as",4,"The post targets migrant families, referred to"
33,as always eli has the stupid hick hayseed look on his face giants fans kill ya selves it is going to be a,VE,4,The post contains a direct and,4,The post contains direct incitement,4,"The post targets ""giants fans"" with derogatory",4,"The post targets ""giants fans"" and specifically"
34,genocide of jews is fine,VE,4,"The post explicitly states that """,4,"This post directly endorses and condones the genocide of a specific group. While not an immediate threat or tactical instruction, it constitutes direct incitement to violence by expressing approval for the most extreme form of violence imaginable against Jewish people. This goes beyond general hate speech or propaganda.",4,The post targets Jewish people by endorsing their genocide,4,"The post directly targets ""j"
35,if ias officers do not work can anybody from public dare to enter his office and attack him then why doctors are made vulnerable to physical attacks india must bring law to protect medical staff doctors fightback,VE,1,The post is advocating for better protection,1,The post expresses concern about the,1,The post is not targeting anyone for violence.,1,The post is not targeting any individual
36,i encourage the murder of immigrants,VE,4,"The post directly encourages violence, specifically ""murder,"" against a protected group (""immigrants""). This constitutes direct incitement to violence against a group, fitting the criteria for Level 4. It does not provide tactical instructions or immediate threats from the poster, which would elevate it to Level 5.",4,The post directly encourages the murder of a specific group (immigrants). This constitutes direct incitement to violence against a protected characteristic. It goes beyond general hate speech by explicitly calling for lethal harm.,4,"The post directly targets ""immigrants"" as a group. It contains a clear and unambiguous call to violence, specifically ""murder."" While it does not outline a specific plan or immediate threat",4,"The post directly targets ""immigrants"" as a group. It contains a clear and unambiguous call to violence by stating ""i encourage the murder of immigrants."" This is not merely hate speech but a direct incitement"
37,society sucks because whatever do not kill enough muslims like you,VE,4,This post expresses a clear desire for violence against,4,The post expresses a direct desire,3,"The post targets ""muslims",3,The post targets Muslims with hateful
38,ill marry someone who loves to attack black people as much as i do,VE,4,"The post expresses a personal desire to """,4,This post expresses a personal desire and,3,"The post targets ""black people"" with",3,The post targets Black people with hateful
39,justin bieber needs to shoot himself,VE,4,This post constitutes a direct statement,4,This post constitutes a direct incitement to,4,"The post directly targets Justin Bieber, an",4,"The post directly targets Justin Bieber, an individual"
40,hey whatever should burn every loot and murder in this country just the black where are you of life,VE,4,"The post contains direct incitement to violence and murder, specifically targeting Black people. Phrases like ""burn every loot and murder in this country just the black"" constitute a clear call for harmful actions against a protected group. This moves beyond general hate speech to active incitement.",4,"The post directly incites violence (""burn every loot and murder"") and explicitly targets a specific racial group (""just the black""). This constitutes a direct call for violent action against a protected group, fitting the criteria for direct incitement to violence.",4,"The post directly targets Black people, dehuman",4,The post directly targets Black people with hateful and
41,i should be in jail it is a crime hoe i kill these beats,VE,1,"The post uses common idiomatic language (""",1,The post uses common slang and,1,The post uses the idiomatic,1,"The post uses the phrase ""kill these beats"
42,ill marry someone who loves to attack lebanese people as much as i do,VE,4,The post expresses a personal desire to engage in,4,The post expresses a personal desire for violence against,3,"The post targets ""Lebanese people",3,"The post targets ""lebanese"
43,i am going to kill my dog,VE,3,The post expresses a direct intent to commit an,4,This post contains a direct and specific threat to,4,The target of the post is,4,The target of the post is
44,i know a black man would love to shoot him,VE,4,This post expresses a desire for violence (shooting,4,"This post expresses a desire for violence (""",3,"The post targets an unnamed individual,",3,"The post targets an unnamed individual (""him"
45,let us kill all of them and get it over with they are all rapists,VE,4,"The post contains a direct call to violence (""let us kill all of them"") targeting a generalized group, accompanied by dehumanizing language (""they are all rapists""). This constitutes direct incitement to violence against a group. While severe, it lacks the specific planning or tactical instructions that would elevate it to Level 5.",4,"The post contains a direct call to violence, stating ""let us kill all of them."" This constitutes direct incitement to violence against a group, even if vaguely defined as ""them."" The accompanying dehumanizing language (""they are all rapists"") serves to justify this violent incitement.",4,"The post targets an unspecified group, dehumanizing",4,"The post directly targets an unspecified group, dehumanizing them as ""all rapists."" It contains a clear and unambiguous"
46,it is not easy to confess and do not attack me in the comments as this country permits free speech so i can explain my hatred of people who take drugs i just do not think they should be allowed to exist,VE,2,"The post expresses extreme hatred towards a group (""",2,The post expresses extreme hatred and dehumanizing,4,"The post targets people who take drugs, expressing",2,"The post targets ""people who take drugs"
47,i respect and encourage the murder of muslims,VE,4,"The post contains a clear and direct incitement to violence by explicitly encouraging the murder of a specific religious group (Muslims). This goes beyond general hate speech or glorifying past acts, directly advocating for future violent acts. However, it does not include immediate threats from the poster, planning, or tactical instructions,",4,"The post directly encourages the murder of an entire religious group. This constitutes a clear incitement to violence against a protected characteristic. While not an immediate threat or tactical instruction, it explicitly promotes severe harm.",4,"The post targets Muslims as a group. It contains a direct call to violence by explicitly stating ""encourage the murder of Muslims,"" which goes beyond general hate speech. While it doesn't specify an immediate attack",4,"The post directly targets Muslims. It contains a clear and explicit statement encouraging the murder of this group, which constitutes direct incitement to violence. While it lacks immediate tactical instructions or specific planning, the call to ""encourage the murder"" is a severe form of incitement. This falls under direct incitement to violence against a group."
48,it would be a great service if they could kill all women,VE,4,"The post expresses a clear desire for extreme violence, specifically advocating for the killing of an entire demographic group. This constitutes direct incitement to violence against a group, framing it as a positive act. It goes beyond general hate speech by explicitly calling for lethal harm.",4,"The post expresses a desire for the mass killing of an entire demographic group (women) and frames it as a ""great service."" This constitutes direct incitement to violence against a group by promoting and endorsing the idea of such an act. While not a direct command, it clearly",4,"The post targets a broad demographic group, """,4,"The post targets ""all women"" as a"
49,whatever applaud the murder of homosexuals,VE,3,The post explicitly applauds the murder of homosexual,3,The post explicitly applauds the murder,3,The post targets homosexuals by expressing approval,3,"The post targets homosexual individuals by expressing approval for their murder. While it is not a direct call to commit violence, the statement explicitly glor"
50,riiiiiight bitch i pop one of them green hoes and turn into the hulk you have gone have to shoot me,VE,4,The post expresses a clear intent to become,4,The post contains a direct threat,3,The post targets an unspecified individual or group who,3,The post implies a willingness to engage in a
51,yet calling president trump and republicans nazi s is fine illegal aliens,NVE,2,"The post uses dehumanizing language (""illegal aliens"") to refer to a group of people. While the primary context is a complaint about political labeling, the inclusion of such terminology constitutes hate speech or dehumanizing language targeting a specific group. It does not incite",2,"The post uses the term ""illegal",2,The post implicitly targets undocumented immigrants by using,1,"The post is a political grievance,"
52,jihadi john is a terrorist,NVE,1,The post makes a factual statement about a known,1,"The post identifies a known individual, """,1,"The post is not targeting anyone, nor does",1,The post identifies a known terrorist figure
53,i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,NVE,2,The post contains highly inflammatory and unsub,2,The post contains highly inflammatory and unsubst,2,The post targets the government/congressman by,1,The post describes a phone call where the user
54,whatever applaud the murder of black people,NVE,3,"This post explicitly ""applauds the murder",3,The post expresses approval and glorification of,3,"The post targets ""black people"" by",3,"The post targets ""black people."" While it"
55,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,NVE,2,"The post contains significant hate speech and dehumanizing language targeting Muslims. It propagates false and inflammatory claims about a religious group, associating them with illegal and immoral acts like bestiality and child sex, and falsely claiming they are protected from reporting terrorist attacks. This type of content aims to demonize and incite prejudice against a specific group.",2,"The post contains extensive hate speech and dehumanizing language, making false and inflammatory claims about a religious group. It propagates misinformation designed to incite hatred and fear against this",2,"The post targets Muslims as a group,",2,"The post targets Muslims, making false and dehuman"
56,those mulatto vermin should not be allowed to live here anymore,NVE,2,"The post uses dehumanizing language (""vermin"") to describe a group and expresses a desire for their removal (""should not be allowed to live here anymore""). This clearly falls under hate speech and dehumanization",2,"The post uses extremely dehumanizing language (""mul",2,"The post targets individuals of mixed race,",2,The post targets individuals identified as
57,love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,NVE,2,"The post uses dehumanizing language (""animals"") to refer to a group of men who allegedly harm women. This constitutes hate speech and dehumanization targeting a specific group of individuals. While it does not directly incite violence, it promotes a derogatory view of a segment of the male population.",2,"The post uses dehumanizing language (""animals"") to describe a group of men accused of harming women. This constitutes hate speech and dehumanization targeting a specific demographic based on alleged behavior. While it doesn't incite violence, it promotes a divisive and derogatory view.",2,The post targets a specific subset,2,"The post targets men described as ""animals who"
58,never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,NVE,2,The post promotes a conspiracy theory about the,2,The post contains hate speech and propaganda by,2,The post targets Muslims by propagating a conspiracy theory,2,"The post targets Muslims and the UK, propagating"
59,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,NVE,1,"The post rejects acts of violence, specifically",2,The post references specific acts of extremist violence,1,The post refers to past acts,1,The post is a comparative statement
60,i encourage the murder of asylum seekers,NVE,4,"The post directly encourages the murder of a specific group, asylum seekers. This constitutes direct incitement to violence, aligning with the criteria for Level 4. It goes beyond general hate speech or glorification of past acts by actively promoting harmful action.",4,"The post contains a direct incitement to violence by explicitly encouraging the murder of a specific group, ""asylum seekers."" While it lacks immediate planning or tactical instructions, it crosses the line from hate speech to a clear call for violent action. This aligns with direct incitement to violence against a group.",4,"The post directly targets ""asylum seekers"" as a group. It contains a clear and explicit call to violence, specifically ""murder."" While it lacks immediate planning or tactical instructions, the language ""i",4,"The post directly targets ""asylum seekers,"" a specific group. It contains a clear and explicit call to violence, specifically ""murder,"" which goes beyond mere hate speech. While not an immediate plan or tactical instruction, it is a direct incitement to violence against a group. This aligns with Level 4, which describes direct incitement to violence"
61,i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,NVE,1,"The post uses the idiom """,1,The post expresses a wish for someone to have,1,The post expresses a wish for a,1,"The post refers to an unspecified ""them,"""
62,california says he isnt a murderer prosecutors disagreed after nine years in jail awaiting trial nero wilson what a slut released when california changed its murder laws last fall,NVE,2,The post uses dehumanizing and derogatory language,2,"The post uses dehumanizing and derogatory language (""",2,The post targets a specific individual,2,"The post targets an individual,"
63,whatever applaud the murder of muslims,NVE,3,This post explicitly glorifies violence by,3,"The post explicitly ""applauds the murder",3,The post targets Muslims by expressing approval,3,The post targets Muslims by expressing approval
64,guests so naive to say and believe traitor trump is walking back and correcting his statement trump what a slut being truthful with trumpisatraitor,NVE,2,"The post uses derogatory and dehumanizing language (""",1,"The post expresses strong, derogatory political criticism and",1,Step 1 — The post,2,"The post targets a specific political figure,"
65,borisjohnsonshouldnotbepm ever no threats to kill boris johnson as fabricated by fta,NVE,1,The post expresses a strong political opinion about,1,The post expresses a strong political opinion against,1,The post expresses a strong political,1,The post targets Boris Johnson by
66,your avi probably shoot dust out your phone because that shit so old you catfishing the bitches on here laughing my ass off,NVE,1,The post contains personal insults and,1,The post contains a personal insult and,1,The post targets an individual with insults regarding their,1,The post targets an individual's online
67,in my opinion whatever should be afraid of them they are unpredictable savage animals you just never know and you should not count on anyone jumping in to save you if something happens and you got the daylights stomped out of you by a pack of black people,NVE,2,"The post uses dehumanizing language (""unpredictable savage animals"") and promotes fear and hostility towards a specific racial group (""black people""). It describes a hypothetical violent scenario attributed to this group, which constitutes hate speech targeting them. While it doesn't directly incite violence, it clearly falls under propaganda and dehumanizing language.",2,"The post uses dehumanizing language (""unpredictable savage animals,"" ""pack"") to describe a racial group. It promotes fear and hatred by depicting this group as inherently violent and dangerous. This aligns with propaganda and hate speech targeting a specific group.",2,"The post targets black people, dehumanizing them",2,"The post targets ""black people"" with"
68,somali refugees arrested for planning isis attack inside us the suspects had been in communication with a fbi agent whom they thought what a slut an isis supporter to purchased tickets to egypt if they were unable to travel the pair had planned to carry out an attack inside united states of america,NVE,5,"The post explicitly describes individuals ""planning",1,The post describes a past event where individuals,2,The post describes an alleged plot for an,1,The post reports on an alleged ISIS attack plot
69,on the anniversary of isis all ada supporters each claim ben laden as their own as a show of their jihad authenticity pathetic,NVE,1,The post discusses extremist groups and,1,The post discusses extremist figures and concepts (ISIS,1,The post is commenting on the perceived behavior of,1,The post mentions extremist entities like ISIS and Osama
70,caucasians not welcome in europe new world order intentions are to eradicate all traces of white skinned people known as the clergy white genocide plan this is why these only so called refugees allowed to settle in europe are all dark skinned no white skinned,NVE,2,"The post promotes the ""white genocide",2,"The post propagates the ""white genocide",2,"The post targets ""dark skinned",2,"Step 1 — The post targets """
71,ugly traitor go to jail and do not pass go buildthewall lockthemup indiana now,NVE,3,The post incites non-violent,2,"The post uses dehumanizing language (""ugly traitor",2,"The post targets a vaguely defined """,2,"The post targets an unspecified ""ugly traitor"""
72,as whatever whites are naturally superior whatever need to make sure whatever do not start behaving in non white ways such as fighting with each other and getting publicly nasty,NVE,2,"The post explicitly states a white supremacist ideology (""whites are naturally superior"") which is a form of hate speech. It also implicitly targets non-white groups by associating them with negative behaviors (""fighting with each other and getting publicly nasty""), thereby promoting dehumanizing stereotypes. This aligns with propaganda and hate speech targeting a group.",2,"The post explicitly states a belief in white racial superiority, which is a core tenet of white supremacist ideology. It also uses dehumanizing language by associating ""non-white",2,The post targets non-white individuals,2,The post promotes a white supremacist
73,how can serving years in prison for the murder of a boy be justice i am curious to know what qualifications and life experiences a person has to have to be on a parole board that releases a child killer back into society even worse a child killer that has shown no remorse and is far from a model prisoner if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable if when freddie commits another violent crime if they were held accountable maybe they would think twice before releasing them let us be honest does anyone think the original sentence of years is justice for the killing of an innocent child my deepest sympathies go out to the family of camilla,NVE,3,The post expresses strong outrage and calls for the,3,The post expresses strong disapproval of a,4,"The post targets specific parole board members, advocating",3,The post targets members of a parole board
74,retweet you ever kill an ant on the sidewalk and think damn what if that nigga what a slut on his where are you to get some pussy,NVE,1,The post contains highly inappropriate and,1,"The post contains crude and offensive language, but",2,The post employs highly offensive and,2,"The post uses highly derogatory and dehumanizing language, specifically ""nigga,"" ""slut,"" and ""pussy,"" which are offensive terms targeting Black individuals and women. While it does not contain a direct call to violence or specific threats, the language constitutes hate"
75,i am not coming from a racist viewpoint but guys from india seem far more rama than guys from the terrorist countries,NVE,2,The post employs prejudiced generalizations by labeling entire,2,"The post uses dehumanizing language by broadly labeling individuals from certain regions as ""guys from the terrorist countries,"" associating an entire",2,"The post targets men from India and implicitly those from ""terrorist countries"" with derogatory and dehumanizing language. There is no direct call to violence, but",2,"The post targets ""guys from India"" with a derogatory and dehumanizing term (""rama""), contrasting them with ""guys from the terrorist countries,"" which is"
76,i am going to kill amy,NVE,4,"This post contains a direct and specific threat of violence against an individual named Amy. It clearly articulates an intent to harm, fitting the criteria for specific threats against a person. While it lacks immediate planning or tactical instructions, the explicit statement of intent to kill elevates it beyond general hate speech or incitement to non-violent acts.",4,"This post contains a direct and specific threat of violence against an identified individual (""amy""). It explicitly states an intent to harm, which aligns with the definition of a specific threat against a person",4,The post directly targets a specific,4,"The post directly targets a specific individual, """
77,i purpose that whatever attack everyone who cannot adhere to british values starting with asians,NVE,4,"The post directly incites violence by proposing an ""attack"" against individuals who do not adhere to perceived ""British values."" It explicitly targets a specific ethnic group, ""asians,"" as the starting point for this proposed violence. This constitutes a direct call for",4,"The post directly incites violence by proposing an ""attack"" against a specific group, ""asians,"" and a broader category of individuals. This goes beyond general hate speech to a clear call for harmful action. It does not, however, include immediate threats, planning, or tactical instructions.",4,"The post targets ""everyone who",4,"The post directly targets ""everyone who cannot adhere to British values,"" specifically naming ""asians"" as the initial target. It contains a direct call to violence with the phrase ""i purpose that whatever attack everyone."" While it doesn't provide immediate plans or tactical instructions, it is a clear and direct incitement to violence against a specific group. This fits Level 4, which describes"
78,is the penny finally dropping whatever have imported enough rape murder and violence already turn the boats round whatever do not want them sendthemback rapeugeesnotwecome,NVE,3,The post uses dehumanizing language and hate,2,"The post uses dehumanizing language (""rapeugeesnotwecome"") and hate speech to falsely accuse an entire group of being associated with ""rape, murder and violence."" It promotes a hateful narrative and advocates for action against this group based on these false and dehumanizing claims. This clearly falls under propaganda, hate speech, and dehumanizing language targeting a group.",2,The post targets refugees/imm,2,"The post targets refugees/migrants, accusing"
79,attack any illegal aliens that you see,NVE,4,"The post contains a direct command to commit violent acts (""attack"") against a specific group (""illegal aliens""). This constitutes direct incitement to violence against a targeted group. It goes beyond hate speech or glorifying past violence by explicitly encouraging immediate violent action.",4,"The post contains a direct call to violence, explicitly instructing individuals to ""attack"" a specific group (""illegal aliens""). This constitutes direct incitement to violence against a group, aligning with the criteria for Level 4. It goes beyond hate speech or glorifying past acts by actively encouraging violent action.",4,"The post targets a broad group, ""illegal aliens,"" identified by a specific characteristic. It contains a direct and explicit call to violence (""attack any... that you see"") against this group. This incitement is actionable, urging individuals to commit violent acts immediately upon encountering members of the targeted group. This clearly constitutes direct",4,"The post targets ""illegal aliens,"" a specific group of people. It contains a direct and unambiguous call to violence"
